6FDA-AP6F,,,,6FDA-PDODA,,,,ODPA-AP6F,,,,ODPA-PDODA,,
0.412233,2409.40481,3132.226253,,0.412233,1829.164881,3475.413273,,0.398682,3369.381278,3369.381278,,0.32824,99518.21702,49759.10851
0.415242,2335.947079,3036.731203,,0.415242,1836.069278,3488.531629,,0.401571,3166.175293,3166.175293,,0.331224,99026.58834,49513.29417
0.418251,2347.674234,3051.976504,,0.418251,1856.671761,3527.676347,,0.40446,3084.111961,3084.111961,,0.334208,98632.23204,49316.11602
0.42126,2326.696765,3024.705794,,0.42126,1833.26169,3483.197211,,0.407349,3045.659055,3045.659055,,0.337192,98305.74445,49152.87223
0.424269,2349.996438,3054.995369,,0.424269,1861.476968,3536.806239,,0.410238,3060.505476,3060.505476,,0.340176,97939.36379,48969.68189
0.427278,2242.865197,2915.724757,,0.427278,1852.716955,3520.162215,,0.413127,2972.709913,2972.709913,,0.34316,97384.31374,48692.15687
0.430287,2226.001459,2893.801897,,0.430287,1834.618805,3485.77573,,0.416016,2969.896016,2969.896016,,0.346144,97084.91121,48542.4556
0.433296,2246.275049,2920.157564,,0.433296,1835.95404,3488.312676,,0.418905,2918.893007,2918.893007,,0.349128,96631.10648,48315.55324
0.436305,2205.844579,2867.597952,,0.436305,1815.230386,3448.937733,,0.421794,2886.914578,2886.914578,,0.352112,96639.1432,48319.5716
0.439314,2178.880956,2832.545243,,0.439314,1796.827233,3413.971743,,0.424683,2825.783254,2825.783254,,0.355096,96428.85883,48214.42941
0.442323,2076.599054,2699.57877,,0.442323,1811.103426,3441.09651,,0.427572,2779.379181,2779.379181,,0.35808,96067.47616,48033.73808
0.445332,2021.844075,2628.397298,,0.445332,1823.13188,3463.950572,,0.430461,2794.253595,2794.253595,,0.361064,96042.46302,48021.23151
0.448341,1977.838762,2571.190391,,0.448341,1836.153015,3488.690729,,0.43335,2780.951912,2780.951912,,0.364048,96187.80551,48093.90275
0.45135,2037.609499,2648.892349,,0.45135,1890.788868,3592.498849,,0.436239,2739.593129,2739.593129,,0.367032,96202.16782,48101.08391
0.454359,2026.141655,2633.984152,,0.454359,1882.433381,3576.623424,,0.439128,2746.233672,2746.233672,,0.370016,96082.42833,48041.21417
0.457368,1999.857842,2599.815194,,0.457368,1857.059889,3528.413789,,0.442017,2761.55532,2761.55532,,0.373,96371.23244,48185.61622
0.460377,1894.240262,2462.51234,,0.460377,1900.159168,3610.30242,,0.444906,2717.042759,2717.042759,,0.375984,96417.74537,48208.87268
0.463386,1919.570606,2495.441788,,0.463386,1884.486992,3580.525285,,0.447795,2686.239966,2686.239966,,0.378968,96617.06184,48308.53092
0.466395,1955.539904,2542.201876,,0.466395,1911.027961,3630.953126,,0.450684,2664.034677,2664.034677,,0.381952,96486.2517,48243.12585
0.469404,1910.318752,2483.414378,,0.469404,1849.292296,3513.655362,,0.453573,2608.937781,2608.937781,,0.384936,96589.57105,48294.78553
0.472413,1863.592704,2422.670516,,0.472413,1869.635619,3552.307676,,0.456462,2569.936063,2569.936063,,0.38792,96870.39066,48435.19533
0.475422,1872.253786,2433.929922,,0.475422,1837.810107,3491.839203,,0.459351,2550.890255,2550.890255,,0.390904,97266.32894,48633.16447
0.478431,1887.396468,2453.615408,,0.478431,1876.987321,3566.27591,,0.46224,2558.140009,2558.140009,,0.393888,97488.1337,48744.06685
0.48144,1823.738506,2370.860057,,0.48144,1837.001853,3490.303521,,0.465129,2548.484756,2548.484756,,0.396872,97822.5185,48911.25925
0.484449,1804.752694,2346.178503,,0.484449,1850.21158,3515.402002,,0.468018,2477.473648,2477.473648,,0.399856,98292.975,49146.4875
0.487458,1787.350501,2323.555651,,0.487458,1863.121951,3539.931707,,0.470907,2473.301112,2473.301112,,0.40284,98431.00212,49215.50106
0.490467,1760.744956,2288.968443,,0.490467,1826.5812,3470.504281,,0.473796,2447.35595,2447.35595,,0.405824,98751.39283,49375.69641
0.493476,1746.495738,2270.44446,,0.493476,1833.958389,3484.52094,,0.476685,2463.679811,2463.679811,,0.408808,99180.44274,49590.22137
0.496485,1790.48965,2327.636545,,0.496485,1827.774029,3472.770655,,0.479574,2376.909568,2376.909568,,0.411792,99429.75694,49714.87847
0.499494,1695.231909,2203.801482,,0.499494,1826.174756,3469.732036,,0.482463,2343.669952,2343.669952,,0.414776,99918.36656,49959.18328
0.502503,1633.773172,2123.905124,,0.502503,1854.758174,3524.04053,,0.485352,2320.704761,2320.704761,,0.41776,100295.5992,50147.79958
0.505512,1633.336795,2123.337833,,0.505512,1873.302025,3559.273847,,0.488241,2335.515568,2335.515568,,0.420744,100697.1524,50348.57618
0.508521,1656.504875,2153.456338,,0.508521,1877.009538,3566.318123,,0.49113,2302.719358,2302.719358,,0.423728,101293.3374,50646.6687
0.51153,1589.914958,2066.889446,,0.51153,1825.574166,3468.590915,,0.494019,2287.418131,2287.418131,,0.426712,101570.4237,50785.21183
0.514539,1613.125283,2097.062868,,0.514539,1873.286296,3559.243962,,0.496908,2333.846473,2333.846473,,0.429696,102200.7884,51100.39421
0.517548,1572.087275,2043.713458,,0.517548,1821.578601,3460.999341,,0.499797,2240.321742,2240.321742,,0.43268,102479.6542,51239.82712
0.520557,1561.939603,2030.521483,,0.520557,1811.413452,3441.685559,,0.502686,2194.128878,2194.128878,,0.435664,103116.0357,51558.01786
0.523566,1576.543597,2049.506677,,0.523566,1811.77364,3442.369916,,0.505575,2151.515666,2151.515666,,0.438648,103618.3204,51809.16019
0.526575,1584.98406,2060.479278,,0.526575,1831.988388,3480.777936,,0.508464,2166.825904,2166.825904,,0.441632,104128.9073,52064.45364
0.529584,1621.504342,2107.955645,,0.529584,1839.017571,3494.133385,,0.511353,2196.508172,2196.508172,,0.444616,104733.1553,52366.57767
