ODPA-AP6F-ODPA-PEG1500 (10%),,,,ODPA-AP6F-ODPA-PEG1500 (20%),,,,ODPA-AP6F-ODPA-PEG1500 (30%),,,,ODPA-AP6F-ODPA-PEG1500 (40%),,,,ODPA-AP6F-ODPA-PEG1500 (50%),,
0.162904,5867.399659,5867.399659,,0.35164434,1616.079384,11312.55569,,0.34274194,821.4899631,15608.3093,,0.1788,46338.27379,46338.27379,,0.213786,44470.52777,88941.05554
0.165813,5871.480623,5871.480623,,0.36054671,1659.442042,11616.0943,,0.35164434,813.9873421,15465.7595,,0.18178,46095.89696,46095.89696,,0.216675,44498.23035,88996.46071
0.168722,5698.001508,5698.001508,,0.36944911,1698.424259,11888.96981,,0.36054671,818.554252,15552.53079,,0.18476,45586.76629,45586.76629,,0.219564,44739.37424,89478.74847
0.171631,5972.220563,5972.220563,,0.37835151,1626.744229,11387.2096,,0.36944911,836.0747405,15885.42007,,0.18774,45028.54141,45028.54141,,0.222453,45083.46071,90166.92143
0.17454,6026.663715,6026.663715,,0.38725387,1556.296037,10894.07226,,0.37835151,836.44312,15892.41928,,0.19072,45086.40185,45086.40185,,0.225342,45283.97913,90567.95825
0.177449,5473.414234,5473.414234,,0.39615627,1554.809826,10883.66878,,0.38725387,835.2626142,15869.98967,,0.1937,44932.5632,44932.5632,,0.228231,45432.63311,90865.26622
0.180358,5272.733987,5272.733987,,0.40505867,1487.54552,10412.81864,,0.39615627,847.8529798,16109.20662,,0.19668,44359.63293,44359.63293,,0.23112,45625.63188,91251.26377
0.183267,5310.716759,5310.716759,,0.41396104,1556.500147,10895.50103,,0.40505867,833.6477807,15839.30783,,0.19966,44046.0795,44046.0795,,0.234009,45790.35646,91580.71292
0.186176,5408.014977,5408.014977,,0.42286344,1546.750198,10827.25139,,0.41396104,829.9191239,15768.46335,,0.20264,43800.46927,43800.46927,,0.236898,46167.73948,92335.47895
0.189085,5316.269479,5316.269479,,0.43176584,1496.656296,10476.59407,,0.42286344,836.5802455,15895.02467,,0.20562,43502.24916,43502.24916,,0.239787,46396.12372,92792.24744
0.191994,5096.574469,5096.574469,,0.4406682,1502.060751,10514.42526,,0.43176584,816.4640818,15512.81755,,0.2086,43585.55374,43585.55374,,0.242676,46945.45045,93890.90089
0.194903,4958.13864,4958.13864,,0.4495706,1504.355274,10530.48692,,0.4406682,825.6295176,15686.96083,,0.21158,43719.49934,43719.49934,,0.245565,47336.6964,94673.3928
0.197812,4821.846571,4821.846571,,0.458473,1520.445289,10643.11702,,0.4495706,839.8974805,15958.05213,,0.21456,43663.09078,43663.09078,,0.248454,47740.79719,95481.59439
0.200721,4854.928128,4854.928128,,0.46737537,1539.059181,10773.41427,,0.458473,834.0943609,15847.79286,,0.21754,43451.77875,43451.77875,,0.251343,48244.14974,96488.29948
0.20363,4675.98993,4675.98993,,0.47627777,1484.471019,10391.29713,,0.46737537,865.5017944,16444.53409,,0.22052,43017.27343,43017.27343,,0.254232,48783.91211,97567.82423
0.206539,4725.210654,4725.210654,,0.48518017,1454.613109,10182.29176,,0.47627777,856.3971197,16271.54527,,0.2235,43011.97951,43011.97951,,0.257121,49402.67523,98805.35047
0.209448,4523.536642,4523.536642,,0.49408253,1502.016625,10514.11638,,0.48518017,852.3653488,16194.94163,,0.22648,43073.77643,43073.77643,,0.26001,50079.25358,100158.5072
0.212357,4682.99218,4682.99218,,0.50298493,1507.164765,10550.15335,,0.49408253,845.6446459,16067.24827,,0.22946,42901.15664,42901.15664,,0.262899,50573.1042,101146.2084
0.215266,4505.434021,4505.434021,,0.51188733,1454.857753,10184.00427,,0.50298493,860.5484192,16350.41997,,0.23244,42779.57774,42779.57774,,0.265788,51465.0803,102930.1606
0.218175,4221.96718,4221.96718,,0.5207897,1456.510485,10195.57339,,0.51188733,844.6861268,16049.03641,,0.23542,42989.99071,42989.99071,,0.268677,52021.25837,104042.5167
0.221084,4304.657269,4304.657269,,0.5296921,1490.892086,10436.2446,,0.5207897,900.0680599,17101.29314,,0.2384,43147.3024,43147.3024,,0.271566,52670.302,105340.604
0.223993,4363.656724,4363.656724,,0.5385945,1472.601737,10308.21216,,0.5296921,863.1383096,16399.62788,,0.24138,43000.54305,43000.54305,,0.274455,53359.52429,106719.0486
0.226902,4444.822727,4444.822727,,0.54749686,1453.424931,10173.97452,,0.5385945,878.9023965,16699.14553,,0.24436,42816.07879,42816.07879,,0.277344,54287.16417,108574.3283
0.229811,4647.285678,4647.285678,,0.55639926,1455.966683,10191.76678,,0.54749686,871.5080889,16558.65369,,0.24734,42869.17153,42869.17153,,0.280233,55206.89883,110413.7977
0.23272,4414.158329,4414.158329,,0.56530166,1473.348545,10313.43981,,0.55639926,870.3399237,16536.45855,,0.25032,42896.77975,42896.77975,,0.283122,56145.34706,112290.6941
0.235629,4297.298554,4297.298554,,0.57420403,1467.524032,10272.66822,,0.56530166,872.5352202,16578.16918,,0.2533,43119.75612,43119.75612,,0.286011,57032.37165,114064.7433
0.238538,4341.959778,4341.959778,,0.58310643,1474.060568,10318.42397,,0.57420403,865.2866074,16440.44554,,0.25628,43090.89661,43090.89661,,0.2889,58042.50091,116085.0018
0.241447,4245.154364,4245.154364,,0.59200883,1429.774691,10008.42284,,0.58310643,879.1716579,16704.2615,,0.25926,42874.70332,42874.70332,,0.291789,58784.84064,117569.6813
0.244356,4305.148268,4305.148268,,0.60091119,1467.984759,10275.89331,,0.59200883,868.3923537,16499.45472,,0.26224,43235.00648,43235.00648,,0.294678,59957.10536,119914.2107
0.247265,4221.422938,4221.422938,,0.60981359,1460.78792,10225.51544,,0.60091119,873.4858544,16596.23123,,0.26522,43287.57559,43287.57559,,0.297567,61092.27685,122184.5537
0.250174,4135.563784,4135.563784,,0.61871599,1462.67743,10238.74201,,0.60981359,884.0286672,16796.54468,,0.2682,43439.93594,43439.93594,,0.300456,62217.76936,124435.5387
0.253083,4047.830569,4047.830569,,0.62761836,1455.525083,10188.67558,,0.61871599,883.6724759,16789.77704,,0.27118,43129.60138,43129.60138,,0.303345,63416.35519,126832.7104
0.255992,3947.561041,3947.561041,,0.63652076,1432.329627,10026.30739,,0.62761836,884.0234106,16796.4448,,0.27416,43351.7338,43351.7338,,0.306234,64559.63994,129119.2799
0.258901,4157.668353,4157.668353,,0.64542316,1452.76433,10169.35031,,0.63652076,881.9631527,16757.2999,,0.27714,43683.69488,43683.69488,,0.309123,65512.4086,131024.8172
0.26181,4122.612204,4122.612204,,0.65432556,1433.664803,10035.65362,,0.64542316,877.0252407,16663.47957,,0.28012,43699.29973,43699.29973,,0.312012,66743.61511,133487.2302
0.264719,4109.981181,4109.981181,,0.66322789,1473.213721,10312.49604,,0.65432556,871.0937592,16550.78142,,0.2831,44153.98392,44153.98392,,0.314901,67791.98367,135583.9673
0.267628,3988.403922,3988.403922,,0.67213029,1499.036881,10493.25817,,0.66322789,905.0590733,17196.12239,,0.28608,44328.329,44328.329,,0.31779,68974.48896,137948.9779
0.270537,4002.531894,4002.531894,,0.68103269,1448.795791,10141.57054,,0.67213029,919.7155062,17474.59462,,0.28906,44678.71178,44678.71178,,0.320679,69980.48648,139960.973
0.273446,4023.883452,4023.883452,,0.68993509,1462.739248,10239.17474,,0.68103269,896.3364115,17030.39182,,0.29204,44688.83839,44688.83839,,0.323568,71108.40299,142216.806
0.276355,3867.87233,3867.87233,,0.69883749,1481.890523,10373.23366,,0.68993509,913.2651104,17352.0371,,0.29502,44915.49103,44915.49103,,0.326457,71964.30795,143928.6159
0.279264,4063.894179,4063.894179,,0.70773989,1511.301768,10579.11238,,0.69883749,902.9192172,17155.46513,,0.298,45298.01554,45298.01554,,0.329346,73094.05476,146188.1095
0.282173,3864.883341,3864.883341,,0.71664222,1468.679319,10280.75523,,0.70773989,900.2017043,17103.83238,,0.30098,45717.05789,45717.05789,,0.332235,74040.15288,148080.3058
0.285082,4142.558693,4142.558693,,0.72554462,1493.088749,10451.62124,,0.71664222,898.9714297,17080.45716,,0.30396,46086.54974,46086.54974,,0.335124,74950.40688,149900.8138
0.287991,3885.812193,3885.812193,,0.73444702,1490.178605,10431.25023,,0.72554462,897.7013644,17056.32592,,0.30694,46491.61517,46491.61517,,0.338013,75940.76447,151881.5289
0.2909,3965.142747,3965.142747,,0.74924454,1468.566414,10279.9649,,0.73444702,913.0981516,17348.86488,,0.30992,46915.57729,46915.57729,,0.340902,76788.13487,153576.2697
0.293809,4072.179534,4072.179534,,0.79758286,1468.443543,10279.1048,,0.74924454,909.1477466,17273.80719,,0.3129,47165.87732,47165.87732,,0.343791,77596.26712,155192.5342
0.296718,3956.905093,3956.905093,,0.84592126,1463.132526,10241.92768,,0.79758286,913.3226881,17353.13107,,0.31588,47448.676,47448.676,,0.34668,78387.04713,156774.0943
0.299627,4067.960791,4067.960791,,0.89425959,1454.597853,10182.18497,,0.84592126,909.3681782,17277.99539,,0.31886,47810.76176,47810.76176,,0.349569,78785.65415,157571.3083
0.302536,3843.622766,3843.622766,,0.94259791,1450.070159,10150.49111,,0.89425959,897.8868077,17059.84935,,0.32184,48396.74204,48396.74204,,0.352458,79172.97785,158345.9557
0.305445,3745.586149,3745.586149,,0.99093631,1419.299781,9935.09847,,0.94259791,888.6603038,16884.54577,,0.32482,48928.10275,48928.10275,,0.355347,79740.10209,159480.2042
0.308354,3709.324861,3709.324861,,1.0392746,1408.8514,9861.9598,,0.99093631,869.42714,16519.11566,,0.3278,49464.57086,49464.57086,,0.358236,80249.7228,160499.4456
0.311263,3694.250871,3694.250871,,1.087613,1389.502686,9726.5188,,1.0392746,858.3889643,16309.39032,,0.33078,49552.58283,49552.58283,,0.361125,80594.05524,161188.1105
0.314172,4113.769876,4113.769876,,1.1359514,1354.577657,9482.0436,,1.087613,834.8390188,15861.94136,,0.33376,50008.07438,50008.07438,,0.364014,80903.61742,161807.2348
0.322899,3918.994813,3918.994813,,1.1842898,1323.5154,9264.6078,,1.1359514,812.4153892,15435.89239,,0.33674,50641.54171,50641.54171,,0.366903,81221.84596,162443.6919
0.325808,3962.719939,3962.719939,,1.2326281,1302.543657,9117.8056,,1.1842898,793.7540718,15081.32736,,0.33972,51044.42344,51044.42344,,0.369792,81399.23338,162798.4668
0.328717,4073.084664,4073.084664,,1.2809664,1268.5199,8879.6393,,1.2326281,774.4729347,14714.98576,,0.3427,51646.67567,51646.67567,,0.372681,81522.36993,163044.7399
0.331626,3930.903122,3930.903122,,1.3293047,1240.143586,8681.0051,,1.2809664,752.0985073,14289.87164,,0.34568,51929.0471,51929.0471,,0.37557,81422.67173,162845.3435
0.334535,3597.109862,3597.109862,,1.3776432,1214.152529,8499.0677,,1.3293047,729.745521,13865.1649,,0.34866,52448.16571,52448.16571,,0.378459,81372.63427,162745.2685
0.337444,3628.144579,3628.144579,,1.4259815,1179.125543,8253.8788,,1.3776432,712.349319,13534.63706,,0.35164,53120.22365,53120.22365,,0.381348,81300.49981,162600.9996
0.340353,3782.29248,3782.29248,,1.4743198,1144.8436,8013.9052,,1.4259815,687.9905894,13071.8212,,0.35462,53540.75536,53540.75536,,0.384237,81320.17798,162640.356
0.343262,3794.345769,3794.345769,,1.5226582,1112.383343,7786.6834,,1.4743198,662.2352778,12582.47028,,0.3576,54133.76108,54133.76108,,0.387126,81096.16294,162192.3259
0.346171,3750.512825,3750.512825,,1.5709966,1088.311929,7618.1835,,1.5226582,644.3141357,12241.96858,,0.36058,54597.73966,54597.73966,,0.390015,80770.5797,161541.1594
0.34908,3787.562107,3787.562107,,1.619335,1068.590514,7480.1336,,1.5709966,620.1433026,11782.72275,,0.36356,54876.86317,54876.86317,,0.392904,80595.3492,161190.6984
0.351989,3756.969827,3756.969827,,1.6676733,1031.758486,7222.3094,,1.619335,611.545839,11619.37094,,0.36654,55647.32924,55647.32924,,0.395793,80091.38964,160182.7793
0.354898,3617.139951,3617.139951,,1.7160116,1008.962763,7062.73934,,1.6676733,587.5356454,11163.17726,,0.36952,56029.62955,56029.62955,,0.398682,79788.91272,159577.8254
0.357807,3745.936825,3745.936825,,1.7643499,982.2730129,6875.91109,,1.7160116,571.9791911,10867.60463,,0.3725,56823.79207,56823.79207,,0.401571,79163.58301,158327.166
0.360716,3696.586607,3696.586607,,1.8126884,956.6105571,6696.2739,,1.7643499,553.0692884,10508.31648,,0.37548,57367.97888,57367.97888,,0.40446,78799.56239,157599.1248
0.363625,3683.788266,3683.788266,,1.8610267,934.6104629,6542.27324,,1.8126884,535.2754351,10170.23327,,0.37846,57919.49231,57919.49231,,0.407349,78126.88493,156253.7699
0.366534,3574.549781,3574.549781,,1.9093651,915.4449029,6408.11432,,1.8610267,517.6247901,9834.871013,,0.38144,58264.88941,58264.88941,,0.410238,77621.10706,155242.2141
0.369443,3749.795831,3749.795831,,1.9577034,895.5605157,6268.92361,,1.9093651,502.370943,9545.047918,,0.38442,58619.1046,58619.1046,,0.413127,77134.69261,154269.3852
0.372352,3808.038058,3808.038058,,2.0060417,871.6058829,6101.24118,,1.9577034,493.6548208,9379.441596,,0.3874,58802.76154,58802.76154,,0.416016,76440.53073,152881.0615
0.375261,3788.883909,3788.883909,,2.0543802,850.9533043,5956.67313,,2.0060417,478.5827923,9093.073055,,0.39038,59031.561,59031.561,,0.418905,75977.00816,151954.0163
0.37817,3920.152107,3920.152107,,2.1027185,840.8918629,5886.24304,,2.0543802,461.3901122,8766.412131,,0.39336,59415.0261,59415.0261,,0.421794,75213.71946,150427.4389
0.381079,3780.877458,3780.877458,,2.1510568,823.8850886,5767.19562,,2.1027185,450.7557849,8564.359912,,0.39634,59881.22287,59881.22287,,0.424683,74348.4799,148696.9598
0.383988,3886.779518,3886.779518,,2.1993951,806.7363514,5647.15446,,2.1510568,440.4138687,8367.863505,,0.39932,60220.16964,60220.16964,,0.427572,73743.34745,147486.6949
0.386897,3848.456655,3848.456655,,2.2477336,790.84175,5535.89225,,2.1993951,425.9913281,8093.835235,,0.4023,60567.27485,60567.27485,,0.430461,72884.60818,145769.2164
0.389806,3815.308758,3815.308758,,2.2960719,778.9673471,5452.77143,,2.2477336,409.5168231,7780.819639,,0.40528,60798.68443,60798.68443,,0.43335,72081.73955,144163.4791
0.392715,3795.831489,3795.831489,,2.3444103,766.1625986,5363.13819,,2.2960719,399.2182754,7585.147233,,0.40826,61048.35265,61048.35265,,0.436239,71393.03233,142786.0647
0.395624,3778.867238,3778.867238,,2.3927486,759.6566643,5317.59665,,2.3444103,390.164902,7413.133139,,0.41124,61033.75819,61033.75819,,0.439128,70737.67915,141475.3583
0.398533,3733.365529,3733.365529,,2.4410869,741.4797929,5190.35855,,2.3927486,387.3859855,7360.333724,,0.41422,61184.11218,61184.11218,,0.442017,69865.08217,139730.1643
0.401442,3865.138617,3865.138617,,2.4894254,731.5261671,5120.68317,,2.4410869,379.008482,7201.161157,,0.4172,61438.38385,61438.38385,,0.444906,69128.40628,138256.8126
0.404351,3810.211511,3810.211511,,2.5377637,721.7018886,5051.91322,,2.4894254,368.4815355,7001.149174,,0.42018,61498.6915,61498.6915,,0.447795,68305.39377,136610.7875
0.40726,3734.950091,3734.950091,,2.5861022,709.4012014,4965.80841,,2.5377637,358.5344629,6812.154796,,0.42316,61631.41189,61631.41189,,0.450684,67461.88111,134923.7622
0.410169,3706.492637,3706.492637,,2.6344404,697.9638543,4885.74698,,2.5861022,349.0740887,6632.407685,,0.42614,61631.42277,61631.42277,,0.453573,66454.90482,132909.8096
0.413078,3710.526113,3710.526113,,2.6827788,693.1025286,4851.7177,,2.6344404,345.2645122,6560.025733,,0.42912,61690.00614,61690.00614,,0.456462,65777.18834,131554.3767
0.415987,3650.468552,3650.468552,,2.731117,687.0806871,4809.56481,,2.6827788,334.65144,6358.377359,,0.4321,61817.00466,61817.00466,,0.459351,64886.20768,129772.4154
0.418896,3838.403465,3838.403465,,2.7794555,677.9349286,4745.5445,,2.731117,329.6720923,6263.769755,,0.43508,61683.07894,61683.07894,,0.46224,64079.04578,128158.0916
0.421805,3953.635869,3953.635869,,2.827794,665.4962771,4658.47394,,2.7794555,326.8727558,6210.58236,,0.43806,61639.16222,61639.16222,,0.465129,63486.37336,126972.7467
0.424714,4178.364772,4178.364772,,2.8761321,660.6334257,4624.43398,,2.827794,315.5087453,5994.666161,,0.44104,61681.4138,61681.4138,,0.468018,62716.33141,125432.6628
0.427623,4187.102826,4187.102826,,2.9244706,653.7609971,4576.32698,,2.8761321,314.926528,5983.604032,,0.44402,61415.01069,61415.01069,,0.470907,61828.29704,123656.5941
0.430532,3952.239815,3952.239815,,2.9728088,651.75661,4562.29627,,2.9244706,309.6475984,5883.304369,,0.447,61109.38754,61109.38754,,0.473796,60878.73825,121757.4765
0.433441,3913.564911,3913.564911,,3.0211473,642.6905529,4498.83387,,2.9728088,301.9578251,5737.198677,,0.44998,61055.31262,61055.31262,,0.476685,60233.53278,120467.0656
0.43635,3752.055279,3752.055279,,3.0694857,637.8886043,4465.22023,,3.0211473,300.5033651,5709.563936,,0.45296,61060.48218,61060.48218,,0.479574,59554.13516,119108.2703
0.439259,3671.300857,3671.300857,,3.1178239,630.3320643,4412.32445,,3.0694857,294.1826974,5589.47125,,0.45594,60895.33225,60895.33225,,0.482463,58734.64543,117469.2909
0.442168,3980.408787,3980.408787,,3.1661624,622.5823343,4358.07634,,3.1178239,291.6985509,5542.272466,,0.45892,60468.59594,60468.59594,,0.485352,57986.25911,115972.5182
0.445077,3920.165055,3920.165055,,3.2145005,622.2785314,4355.94972,,3.1661624,284.0167171,5396.317625,,0.4619,60276.38655,60276.38655,,0.488241,57272.57924,114545.1585
0.447986,3986.263448,3986.263448,,3.262839,613.8174971,4296.72248,,3.2145005,279.4855619,5310.225676,,0.46488,60141.29635,60141.29635,,0.49113,56491.38534,112982.7707
0.450895,3970.511302,3970.511302,,3.3111775,609.9996729,4269.99771,,3.262839,277.5172651,5272.828038,,0.46786,59676.17583,59676.17583,,0.494019,55719.04221,111438.0844
0.453804,3930.780138,3930.780138,,3.3595157,604.5979629,4232.18574,,3.3111775,273.6882241,5200.076257,,0.47084,59508.89289,59508.89289,,0.496908,55210.28157,110420.5631
0.456713,3838.055298,3838.055298,,3.4078541,598.3045157,4188.13161,,3.3595157,267.3212485,5079.103721,,0.47382,59149.22374,59149.22374,,0.499797,54580.28926,109160.5785
0.459622,3761.477038,3761.477038,,3.4561923,591.62601,4141.38207,,3.4078541,265.5177059,5044.836411,,0.4768,58593.50341,58593.50341,,0.502686,53762.3485,107524.697
0.462531,3793.818658,3793.818658,,3.5045308,593.4610429,4154.2273,,3.4561923,259.0072787,4921.138296,,0.47978,58430.75026,58430.75026,,0.505575,52944.89131,105889.7826
0.46544,3821.965335,3821.965335,,3.5528693,590.1739929,4131.21795,,3.5045308,260.418819,4947.957562,,0.48276,58060.19285,58060.19285,,0.508464,52533.06947,105066.1389
0.468349,3860.93103,3860.93103,,3.6012074,583.51751,4084.62257,,3.5528693,255.5834193,4856.084967,,0.48574,57510.03877,57510.03877,,0.511353,51909.36372,103818.7274
0.471258,3828.097109,3828.097109,,3.6495459,580.6432443,4064.50271,,3.6012074,252.3654915,4794.944338,,0.48872,57239.97766,57239.97766,,0.514242,51347.73434,102695.4687
0.474167,3942.384497,3942.384497,,3.6978844,579.1821471,4054.27503,,3.6495459,251.2629002,4773.995103,,0.4917,57117.00315,57117.00315,,0.517131,50724.88216,101449.7643
0.477076,4034.042166,4034.042166,,3.7462226,572.6657057,4008.65994,,3.6978844,253.678056,4819.883065,,0.49468,56543.79727,56543.79727,,0.52002,50040.88882,100081.7776
0.479985,4242.358531,4242.358531,,3.794561,569.6200571,3987.3404,,3.7462226,249.7920706,4746.049341,,0.49766,56083.62061,56083.62061,,0.522909,49612.79793,99225.59586
0.482894,4069.53635,4069.53635,,3.8428992,565.9536943,3961.67586,,3.794561,244.0695301,4637.321072,,0.50064,55637.53987,55637.53987,,0.525798,48920.74966,97841.49933
0.485803,3902.455363,3902.455363,,3.8912377,562.8751743,3940.12622,,3.8428992,240.964444,4578.324437,,0.50362,55259.56556,55259.56556,,0.528687,48376.68126,96753.36252
0.488712,3988.735245,3988.735245,,3.9395761,557.2454671,3900.71827,,3.8912377,240.466114,4568.856167,,0.5066,54927.87206,54927.87206,,0.531576,47888.04167,95776.08333
0.491621,3881.552346,3881.552346,,3.9879143,557.8787057,3905.15094,,3.9395761,238.8229328,4537.635723,,0.50958,54367.53143,54367.53143,,0.534465,47380.98577,94761.97154
0.49453,3956.053831,3956.053831,,4.0362528,557.8658,3905.0606,,3.9879143,235.6612336,4477.563439,,0.51256,54035.4404,54035.4404,,0.537354,47195.89851,94391.79702
0.497439,4025.387885,4025.387885,,4.084591,552.9277614,3870.49433,,4.0362528,233.6066285,4438.525941,,0.51554,53313.13738,53313.13738,,0.540243,46618.90242,93237.80484
0.500348,3987.682183,3987.682183,,4.1329294,551.7419514,3862.19366,,4.084591,231.9407476,4406.874205,,0.51852,52820.43051,52820.43051,,0.543132,46015.1852,92030.37039
0.503257,3953.371175,3953.371175,,4.1812679,547.3885857,3831.7201,,4.1329294,231.6081265,4400.554403,,0.5215,52778.26431,52778.26431,,0.546021,45546.51659,91093.03319
0.506166,4006.815687,4006.815687,,4.2296061,545.6644786,3819.65135,,4.1812679,228.8289489,4347.750029,,0.52448,52369.71962,52369.71962,,0.54891,45220.62949,90441.25898
0.509075,4094.395938,4094.395938,,4.2779446,542.7627014,3799.33891,,4.2296061,227.9314406,4330.697372,,0.52746,51918.85244,51918.85244,,0.551799,44763.57907,89527.15814
0.511984,4123.473408,4123.473408,,4.3262827,541.59862,3791.19034,,4.2779446,226.9040148,4311.176281,,0.53044,51542.62888,51542.62888,,0.554688,44206.51789,88413.03579
0.514893,4029.677196,4029.677196,,4.3746212,540.3206771,3782.24474,,4.3262827,227.1714059,4316.256713,,0.53342,51127.36638,51127.36638,,0.557577,43740.92776,87481.85552
0.517802,3920.549525,3920.549525,,4.4229597,539.6694871,3777.68641,,4.3746212,228.3427455,4338.512164,,0.5364,50656.30524,50656.30524,,0.5604661,43547.85606,87095.71212
0.520711,4039.944413,4039.944413,,4.4712979,538.4679643,3769.27575,,4.4229597,224.6013858,4267.42633,,0.53938,50129.01499,50129.01499,,0.563355,43160.59953,86321.19905
0.52362,4027.394379,4027.394379,,4.5196363,534.1333657,3738.93356,,4.4712979,224.9240423,4273.556804,,0.54236,50026.48826,50026.48826,,0.566244,42648.78337,85297.56674
0.526529,4159.531234,4159.531234,,4.5679745,531.4377529,3720.06427,,4.5196363,222.8660205,4234.454389,,0.54534,49654.57311,49654.57311,,0.569133,42271.60381,84543.20761
0.529438,4194.728434,4194.728434,,4.616313,531.6134843,3721.29439,,4.5679745,220.9123877,4197.335366,,0.54832,49202.59899,49202.59899,,0.572022,41861.39653,83722.79306
0.532347,4170.313936,4170.313936,,4.6646515,531.6995214,3721.89665,,4.616313,218.7140811,4155.56754,,0.5513,48576.43227,48576.43227,,0.574911,41612.41514,83224.83027
0.535256,4191.192679,4191.192679,,4.7129896,531.0077286,3717.0541,,4.6646515,217.5555497,4133.555445,,0.55428,48265.00307,48265.00307,,0.5778,41203.95836,82407.91671
0.538165,4129.542728,4129.542728,,4.7613281,530.8648214,3716.05375,,4.7129896,220.1740915,4183.307738,,0.55726,48133.15878,48133.15878,,0.580689,40891.58671,81783.17341
0.541074,4077.074041,4077.074041,,4.8096663,527.1901886,3690.33132,,4.7613281,219.5116544,4170.721433,,0.56024,47631.87245,47631.87245,,0.5835781,40618.23235,81236.4647
